"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,         140,      -3.421109574,      -2.662243338,      -2.710319989,      -7.702966954
          0,           0,         141,      -3.429195995,      -2.662942355,      -2.713570505,      -7.710958886
          0,           0,         142,      -3.437080952,      -2.663723615,      -2.716610093,      -7.719181748
          0,           0,         143,      -3.444704951,      -2.664584772,      -2.719490478,      -7.727621854
          0,           0,         144,      -3.452133102,      -2.665510143,      -2.722276266,      -7.736240493
          0,           0,         145,      -3.459387544,      -2.666449719,      -2.725031957,      -7.744994107
          0,           0,         146,      -3.466402181,       -2.66741671,      -2.727813274,      -7.753905924
          0,           0,         147,       -3.47322635,      -2.668395886,      -2.730732257,      -7.762906159
          0,           0,         148,      -3.479878953,      -2.669305654,      -2.733837163,      -7.771927304
          0,           0,         149,      -3.486374796,      -2.670147653,      -2.737124671,      -7.780943883
          0,           0,         150,       -3.49267906,      -2.670943642,      -2.740815143,      -7.789896921
          0,           0,         151,      -3.498776377,      -2.671657654,      -2.744997947,      -7.798700649
          0,           0,         152,      -3.504739115,      -2.672232206,       -2.74949281,      -7.807289186
          0,           0,         153,      -3.510471199,      -2.672670663,      -2.754379585,      -7.815578404
          0,           0,         154,      -3.515971768,      -2.673047576,      -2.759655147,       -7.82345751
          0,           0,         155,      -3.521305446,      -2.673375455,      -2.765310929,        -7.8308689
          0,           0,         156,      -3.526421604,      -2.673622945,      -2.771425983,      -7.837820551
          0,           0,         157,      -3.531329481,      -2.673842898,      -2.778065763,      -7.844277096
          0,           0,         158,      -3.535949252,      -2.674036546,      -2.785269807,      -7.850234594
          0,           0,         159,      -3.540257037,      -2.674289085,      -2.793068217,      -7.855680487
          0,           0,         160,      -3.544179901,      -2.674661873,      -2.801493577,      -7.860620922
          0,           0,         161,       -3.54766745,      -2.675201532,      -2.810570833,      -7.865015373
          0,           0,         162,      -3.550616866,      -2.675969641,      -2.820314338,      -7.868820141
          0,           0,         163,      -3.552958381,      -2.677043732,      -2.830742881,      -7.871996689
          0,           0,         164,      -3.554666917,      -2.678489511,      -2.841843736,      -7.874610973
          0,           0,         165,      -3.555710514,      -2.680420414,      -2.853578014,       -7.87667541
          0,           0,         166,      -3.556021249,      -2.682890416,      -2.865911402,      -7.878238888
          0,           0,         167,      -3.555755054,      -2.686018386,      -2.878918704,      -7.879342869
          0,           0,         168,      -3.554776183,      -2.689795724,      -2.892464142,      -7.880035001
          0,           0,         169,      -3.553179018,      -2.694278746,      -2.906488892,      -7.880378355
          0,           0,         170,      -3.551014155,       -2.69949307,      -2.920904775,      -7.880479838
          0,           0,         171,      -3.548393775,      -2.705433773,      -2.935612698,      -7.880369815
          0,           0,         172,      -3.545460371,      -2.712046072,      -2.950505425,      -7.880207138
          0,           0,         173,      -3.542253638,      -2.719270592,      -2.965469951,      -7.880017517
          0,           0,         174,      -3.538943667,      -2.727054076,      -2.980376281,      -7.879905973
          0,           0,         175,      -3.535669517,       -2.73525264,      -2.995085452,      -7.879958498
          0,           0,         176,      -3.532549342,      -2.743736159,      -3.009436397,      -7.880245279
          0,           0,         177,      -3.529706881,      -2.752295882,      -3.023257957,      -7.880810741
          0,           0,         178,      -3.527273252,      -2.760713242,      -3.036387615,      -7.881677369
          0,           0,         179,      -3.525349319,      -2.768778895,       -3.04867243,      -7.882892513
          0,           0,         180,      -3.524099626,      -2.776176842,      -3.059939771,      -7.884528119
          0,           0,         181,      -3.523544471,      -2.782595033,      -3.070133213,      -7.886536496
          0,           0,         182,      -3.523809987,      -2.787801115,      -3.079144315,      -7.888954796
          0,           0,         183,      -3.524947751,      -2.791637405,      -3.087117088,      -7.891771861
          0,           0,         184,      -3.527007879,      -2.793886313,      -3.094025105,      -7.894962345
          0,           0,         185,      -3.530023709,      -2.794495415,      -3.099772106,      -7.898492865
