"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         138,     -0.2466983291,       2.543200764,       2.018995815,       5.198662603,      -4.383984623
          0,           0,         139,     -0.2468523739,       2.524890134,       2.036193638,       5.188738375,      -4.383860706
          0,           0,         140,     -0.2481365114,       2.507922869,       2.046218959,       5.178705388,      -4.385226301
          0,           0,         141,      -0.245034159,       2.497430209,       2.049964408,       5.176067015,      -4.387702092
          0,           0,         142,      -0.241858942,       2.492063499,       2.045784462,       5.178320367,      -4.391955201
          0,           0,         143,     -0.2448808334,       2.485400812,       2.037153946,       5.177085981,      -4.397535089
          0,           0,         144,     -0.2525049233,        2.47967873,       2.024131936,       5.172889935,      -4.404989882
          0,           0,         145,     -0.2648175564,       2.477652265,       2.002740487,       5.167039303,      -4.412909862
          0,           0,         146,     -0.2835038114,       2.474141841,       1.978000915,       5.157362863,      -4.418822296
          0,           0,         147,     -0.3069587781,        2.46799833,       1.959154439,       5.144204913,      -4.421368768
          0,           0,         148,     -0.3322573086,       2.459295494,       1.955575779,       5.128525251,      -4.420555454
          0,           0,         149,     -0.3531900522,       2.453316088,        1.97103202,       5.114548471,      -4.417290528
          0,           0,         150,     -0.3662247937,       2.452071018,       1.994255548,       5.104961234,      -4.412627439
          0,           0,         151,     -0.3656401257,       2.463743993,        2.01760093,       5.106580608,      -4.407228264
          0,           0,         152,     -0.3643602638,       2.466109497,       2.033854151,       5.110950401,      -4.401452243
          0,           0,         153,     -0.3522686384,        2.47526297,       2.045413716,       5.128632879,      -4.395443521
          0,           0,         154,     -0.3434225885,        2.47452944,       2.042451926,       5.143957483,      -4.391798843
          0,           0,         155,     -0.3405771629,       2.467011458,       2.026933757,       5.152012807,       -4.39076009
          0,           0,         156,     -0.3393203789,       2.465253808,       2.007502589,       5.154980491,      -4.387752613
          0,           0,         157,     -0.3416643454,       2.461826251,       1.990652923,       5.152820594,      -4.382028022
          0,           0,         158,      -0.355538575,       2.446126753,       1.972670858,        5.13909393,      -4.373601952
          0,           0,         159,     -0.3673832569,       2.435391218,       1.953286081,       5.125894927,      -4.362561587
          0,           0,         160,      -0.373326943,       2.433537994,       1.936664041,       5.117128091,      -4.349361358
          0,           0,         161,     -0.3774576993,       2.436113076,       1.921830672,       5.108543946,      -4.334430666
          0,           0,         162,     -0.3850153439,       2.432696071,       1.905004386,       5.096619072,      -4.318300969
          0,           0,         163,     -0.3955707567,       2.422624606,       1.891367888,       5.082847171,      -4.301321357
          0,           0,         164,     -0.4103055268,       2.405891229,       1.879721459,       5.065330287,      -4.283189456
          0,           0,         165,     -0.4242648501,       2.389683229,       1.867823756,        5.04882329,      -4.264112427
          0,           0,         166,     -0.4331299797,       2.382509126,       1.851192263,       5.036830055,      -4.244375099
          0,           0,         167,     -0.4326193211,       2.387439053,        1.83437383,       5.035812523,      -4.224492146
          0,           0,         168,     -0.4279531043,       2.395246781,       1.823668374,       5.040240304,      -4.204649488
          0,           0,         169,     -0.4197685997,       2.405929915,       1.819400244,       5.049080063,      -4.184976442
          0,           0,         170,      -0.407407486,       2.420632461,       1.823082229,       5.063247602,      -4.165652743
          0,           0,         171,     -0.3908059701,       2.439594135,       1.835244624,       5.082850391,      -4.147003964
          0,           0,         172,     -0.3707242602,       2.461738359,        1.85632857,       5.107353488,      -4.128984588
          0,           0,         173,      -0.349615458,       2.484118277,       1.885062157,        5.13474239,       -4.11130842
          0,           0,         174,     -0.3326276342,       2.501759102,       1.917060297,       5.160399661,      -4.101501338
          0,           0,         175,     -0.3273237515,       2.507849765,       1.943563747,        5.17714259,      -4.094956193
          0,           0,         176,     -0.3401441249,       2.497173249,       1.952791001,       5.178026835,      -4.094578952
          0,           0,         177,     -0.3617755456,       2.480666259,       1.944211468,       5.171696533,      -4.092351301
          0,           0,         178,     -0.3241608075,       2.522884585,       1.960353496,       5.223931743,      -4.094392954
          0,           0,         179,     -0.1775499808,       2.666919801,       2.062060576,       5.384237021,      -4.089487941
          0,           0,         180,     0.03932539289,       2.886978764,       2.219409567,       5.599256928,      -4.072831313
          0,           0,         181,     0.06542535654,       2.944265606,       2.217049495,       5.607250331,       -4.04656123
          0,           0,         182,     0.09341653791,       2.988811203,       2.245621866,       5.625515738,       -4.01185083
          0,           0,         183,      0.1313657109,       3.025657981,       2.311676562,       5.677687241,      -3.974040178
          0,           0,         184,      0.1209622751,       3.028117148,        2.31979572,       5.682341393,      -3.945109548
          0,           0,         185,       0.124744516,       3.034643737,       2.363034005,       5.685611151,      -3.919864497
          0,           0,         186,      0.1656195574,       3.051793554,       2.441138983,       5.712110946,      -3.889387422
          0,           0,         187,      0.1756221048,       3.060879132,       2.466175276,       5.707230288,      -3.866280041
          0,           0,         188,      0.1285954554,       2.980731786,       2.462086181,        5.66413969,      -3.843898729
          0,           0,         189,      0.1275621165,       2.943597444,       2.481343939,       5.652097368,      -3.808090831
          0,           0,         190,      0.1689345629,       2.991081836,       2.495386211,       5.676368928,      -3.767379863
          0,           0,         191,      0.1992223771,       2.994127231,       2.514199493,       5.692585282,      -3.731195457
          0,           0,         192,      0.2110000643,       2.986324785,       2.515417302,       5.704381653,      -3.701291563
          0,           0,         193,      0.1847172433,       2.954951647,       2.490959956,       5.692242823,      -3.673407005
          0,           0,         194,      0.1734305245,       2.942294372,       2.474210663,       5.688463748,      -3.641682013
          0,           0,         195,      0.1568921615,       2.926700204,       2.457251099,       5.677253718,      -3.625421681
          0,           0,         196,      0.1570340792,       2.925733543,       2.447673028,       5.675939369,      -3.623327744
          0,           0,         197,      0.1613065372,       2.937115293,       2.427246801,       5.685701983,      -3.629843445
          0,           0,         198,       0.148484566,       2.929841116,       2.399452798,       5.679346467,      -3.631644724
          0,           0,         199,      0.1344930291,       2.917884773,       2.373499957,       5.668902165,      -3.642744955
          0,           0,         200,      0.1156946062,       2.905336766,       2.352759915,       5.658015046,      -3.664521729
          0,           0,         201,     0.09192446802,        2.88425823,       2.333307484,       5.637430451,       -3.69043472
          0,           0,         202,     0.07183770048,       2.866558016,       2.321088816,       5.620819056,      -3.712634819
          0,           0,         203,     0.05327707978,       2.854382904,       2.315069894,       5.609601734,      -3.721408619
          0,           0,         204,     0.03107719444,       2.834322567,       2.315158278,       5.591952227,      -3.730800215
          0,           0,         205,    0.003093658409,       2.802940231,       2.304300818,       5.564156115,      -3.739533301
          0,           0,         206,    -0.02634761807,       2.769019167,       2.292311607,       5.532355725,      -3.744682417
          0,           0,         207,    -0.05097805006,       2.741291581,       2.289285891,       5.506302253,      -3.749138362
          0,           0,         208,    -0.06366989863,       2.729884514,       2.290773946,        5.49332022,      -3.754328644
          0,           0,         209,    -0.07036191198,        2.73206815,       2.292759472,       5.490110167,      -3.759661563
          0,           0,         210,    -0.08129896031,       2.729753474,       2.290274364,       5.485128868,      -3.765192727
          0,           0,         211,    -0.09418213277,       2.725754208,       2.287924955,       5.477610466,      -3.779677259
          0,           0,         212,     -0.1035742489,       2.721413952,       2.292456363,        5.47245074,      -3.798733308
          0,           0,         213,     -0.1087477808,        2.71903444,        2.29361629,       5.471677339,      -3.808485363
          0,           0,         214,     -0.1161917884,       2.711413605,       2.284032126,       5.468166477,      -3.809206145
          0,           0,         215,     -0.1286486892,        2.69610716,       2.263724408,       5.459226838,       -3.80777128
          0,           0,         216,     -0.1435855816,       2.676231046,       2.241131944,       5.447486305,      -3.818122384
          0,           0,         217,     -0.1585818288,       2.654834061,       2.217630282,       5.435157259,      -3.837506004
          0,           0,         218,     -0.1776254701,       2.627120134,       2.185619451,        5.41781031,      -3.863789277
          0,           0,         219,     -0.2053687356,       2.586549239,       2.143954772,       5.389050797,      -3.896573149
          0,           0,         220,     -0.1691604477,       2.691743862,       2.140232922,       5.567298649,      -3.934529019
          0,           0,         221,     -0.2715264951,       2.503677852,       2.059836001,       5.314216721,      -3.980745569
          0,           0,         222,     -0.3303492855,       2.412545749,       2.017604337,       5.246802944,      -4.030855777
          0,           0,         223,      -0.371457168,       2.354152578,       1.982584857,       5.198696631,      -4.083158835
          0,           0,         224,     -0.4065224396,       2.310623083,       1.950124616,       5.155685958,      -4.134236532
          0,           0,         225,     -0.4286630598,       2.302502329,       1.922675396,       5.128637489,      -4.179983343
          0,           0,         226,     -0.4359400412,       2.311679621,       1.900053871,       5.119617836,      -4.215615959
          0,           0,         227,     -0.4412860048,        2.29843326,       1.877375053,       5.112663703,      -4.240890505
          0,           0,         228,     -0.4467748893,       2.274191812,       1.855917442,       5.102819556,       -4.25547176
          0,           0,         229,     -0.4494641818,       2.259465293,       1.838773145,       5.096236109,      -4.259753343
          0,           0,         230,     -0.4500037798,       2.261151919,        1.82758709,       5.095427379,      -4.257865762
          0,           0,         231,     -0.4514146558,       2.269544798,        1.82002476,       5.097788792,      -4.257106528
          0,           0,         232,     -0.4630564872,       2.255652492,       1.810323496,       5.090180994,      -4.252767285
          0,           0,         233,     -0.4847677012,       2.213781761,       1.796097358,         5.0683401,      -4.246083078
          0,           0,         234,     -0.4987062046,       2.190654425,       1.782134258,       5.054912548,      -4.236829758
          0,           0,         235,       -0.51852652,       2.143253867,       1.765600611,       5.028245805,      -4.224861055
          0,           0,         236,     -0.5282524932,       2.124959445,       1.755436223,       5.010456549,      -4.210773313
          0,           0,         237,     -0.5253255507,       2.145449343,       1.754498894,       5.011177634,      -4.194757226
          0,           0,         238,     -0.2651167405,       2.643521955,       1.946586597,       5.550005147,      -4.140432514
          0,           0,         239,     -0.3775983716,       2.471481175,       1.848362179,       5.205192446,      -4.155484267
          0,           0,         240,     -0.3062362738,        2.58163277,       1.933392658,       5.491556349,      -4.107445977
          0,           0,         241,     -0.3846568721,       2.446459773,       1.885072966,       5.207124197,      -4.121544138
          0,           0,         242,     -0.3233825525,       2.553141772,       1.951683715,       5.453541105,      -4.072548281
          0,           0,         243,     -0.3836822579,       2.434244121,       1.926167527,       5.218394745,      -4.083638708
          0,           0,         244,     -0.3154988487,       2.558693523,       1.990319069,       5.448457167,      -4.027421905
          0,           0,         245,     -0.3616148901,        2.46687947,       1.980310528,       5.256891358,      -4.038866037
          0,           0,         246,     -0.3050277549,       2.566048901,       2.032257939,       5.455127655,      -3.975270448
          0,           0,         247,     -0.3031265954,       2.583489674,       2.057573481,       5.422152999,      -3.929004625
          0,           0,         248,     -0.3645640664,       2.464330242,       2.048983103,       5.278847957,      -3.938816548
          0,           0,         249,     -0.3144227921,       2.528010943,       2.082178181,       5.329390134,       -3.93183516
          0,           0,         250,     -0.2380552273,       2.655091863,       2.127786109,       5.517707867,      -3.838638532
          0,           0,         251,     -0.2756730418,         2.5745029,       2.109918913,       5.383295781,      -3.881583267
          0,           0,         252,      -0.255880224,       2.644005583,       2.125522346,       5.522091893,      -3.762406692
          0,           0,         253,      -0.282829481,       2.560721297,       2.087939524,       5.336151181,      -3.817181308
          0,           0,         254,     0.07905904091,       3.003870814,        2.28527551,       5.726167239,      -3.819420154
          0,           0,         255,     0.07905047237,       3.009421886,       2.286122539,        5.77766083,      -3.657592868
          0,           0,         256,      0.1724298524,       3.103922628,       2.356766874,       5.840593851,      -3.575781279
          0,           0,         257,      0.1648850721,       3.086843783,       2.349618403,        5.79241685,      -3.680616079
          0,           0,         258,      0.1873437958,       3.115228141,       2.377480162,       5.844298555,      -3.490369885
          0,           0,         259,      0.1944170375,       3.115074296,       2.383521148,        5.81311952,      -3.609464502
          0,           0,         260,      0.2029909462,       3.128847198,       2.395151029,       5.850660979,      -3.406391832
          0,           0,         261,      0.2040571943,        3.12795883,       2.403032871,       5.844598316,      -3.309645873
          0,           0,         262,      0.2074225981,       3.127353867,       2.410932377,       5.833018135,      -3.423170097
          0,           0,         263,      0.2075523423,       3.132849544,         2.4166672,       5.853250563,      -3.198017298
          0,           0,         264,      0.2083485832,       3.129212956,        2.42171941,       5.838999762,       -3.33558493
          0,           0,         265,      0.2081384936,       3.133805896,       2.422081163,       5.857959644,       -3.08702452
          0,           0,         266,      0.2053739652,        3.13032256,       2.424714172,       5.849036204,      -2.980193858
          0,           0,         267,      0.2091423476,       3.131957531,       2.430967879,       5.847852191,      -3.075354605
          0,           0,         268,      0.2085537777,       3.135139225,       2.433445501,       5.856638616,      -2.842335498
          0,           0,         269,       0.213534477,       3.137517295,       2.440855909,       5.855630593,       -2.96452139
          0,           0,         270,      0.2143564509,       3.141646265,       2.440478346,       5.863924978,      -2.709146358
          0,           0,         271,      0.2186480878,       3.143852973,       2.447980319,       5.861747631,       -2.86148805
          0,           0,         272,      0.2200773582,       3.147722772,       2.448995098,       5.873492445,      -2.586277111
          0,           0,         273,      0.2232656194,       3.150731244,       2.458188281,       5.869694362,      -2.482102951
          0,           0,         274,       0.233839061,       3.160901434,       2.473958019,       5.884464904,      -2.551424153
          0,           0,         275,      0.2350860808,       3.165076535,        2.47912719,       5.886214111,      -2.326380233
          0,           0,         276,      0.2417467575,       3.171103153,        2.49193471,       5.895951119,      -2.416811337
          0,           0,         277,      0.2425453511,       3.174603844,       2.494046397,       5.898334581,      -2.173593281
          0,           0,         278,      0.2469905579,        3.17842689,       2.504821114,       5.903106622,      -2.282499065
          0,           0,         279,      0.2484995254,       3.182329273,       2.507520292,       5.911018803,      -2.024919517
          0,           0,         280,      0.2508867518,       3.184349153,       2.516690703,       5.907662532,      -2.148110773
          0,           0,         281,       0.255518923,       3.191064923,       2.522774026,       5.925084959,      -1.887277701
          0,           0,         282,      0.2554683291,       3.190754427,       2.530206081,       5.911492447,      -2.029274534
          0,           0,         283,      0.2637368428,       3.200505852,       2.540206478,       5.938856935,      -1.772000745
          0,           0,         284,      0.2608353877,       3.197317421,       2.545129947,       5.915599059,      -1.936336862
          0,           0,         285,      0.2720262813,       3.209254279,        2.55811077,       5.949683527,      -1.684281739
          0,           0,         286,      0.2667709064,       3.203796253,        2.56068933,       5.920400327,      -1.863875778
          0,           0,         287,      0.2797717808,       3.216703809,       2.575258341,         5.9565125,      -1.635170717
          0,           0,         288,      0.2729787195,       3.210093974,       2.576299542,       5.925682455,      -1.790686749
          0,           0,         289,      0.2861030277,       3.222543969,       2.590446351,       5.958139038,       -1.62841911
          0,           0,         290,      0.2798401986,       3.216719919,       2.592258389,       5.931629672,      -1.708880414
          0,           0,         291,      0.2908502094,       3.227357883,       2.603783181,       5.956386861,      -1.632181719
          0,           0,         292,      0.2911218075,       3.228026091,       2.612852723,       5.952441398,      -1.545662005
          0,           0,         293,      0.2970738078,       3.233565885,       2.622638998,       5.950472121,       -1.61460217
